id;universal_id;short_name;description;show_order;active
1;Macao;Bedfordshire;Inverse;84723;false
2;port;Granite Money Market Account Supervisor;Gorgeous Investment Account;65111;true
3;Bedfordshire;Upgradable moderator Awesome;Belgium Designer RSS;48249;false
4;Concrete index;neural Plaza;high-level Tools;88747;false
5;bricks-and-clicks;bleeding-edge;haptic;88947;false
6;Metal Fresh PNG;South Georgia and the South Sandwich Islands;Wooden JSON;28317;false
7;Practical Rubber Bike;vortals B2C;violet Hawaii Handmade Metal Computer;36868;true
8;syndicate Fantastic Berkshire;protocol Montana card;niches Buckinghamshire;36462;true
9;e-business Berkshire;fuchsia;Mississippi Diverse plug-and-play;85914;false
10;1080p next generation;invoice Steel;aggregate Specialist Ohio;41219;false
