id;name;description;show_order;active
1;connect ubiquitous payment;transmitting;44549;true
2;Tuvalu markets;Internal firewall utilize;24522;false
3;Team-oriented Solutions;backing up;62452;true
4;Identity;programming navigating;84419;true
5;Tunisian Dinar Pizza;maximize THX Crescent;32509;true
6;methodologies interface Handmade Metal Car;blue incremental action-items;28937;false
7;Global interface back-end;Borders bluetooth;39992;false
8;alarm Nebraska Borders;Reverse-engineered connect Cheese;94623;true
9;green;Latvian Lats;38974;false
10;Agent Metal copying;virtual;55799;false
